state,district,stage,sex,date,teachers
Kedah,All Districts,primary,female,2018-01-01,12176
Kedah,All Districts,primary,female,2019-01-01,12177
Kedah,All Districts,primary,female,2020-01-01,12084
Kedah,All Districts,primary,female,2021-01-01,12022
Kedah,All Districts,primary,female,2022-01-01,12350
Kedah,All Districts,primary,male,2017-01-01,5187
Kedah,All Districts,primary,male,2018-01-01,5026
Kedah,All Districts,primary,male,2019-01-01,4984
Kedah,All Districts,primary,male,2020-01-01,4985
Kedah,All Districts,primary,male,2021-01-01,4896
Kedah,All Districts,primary,male,2022-01-01,5087
Kedah,All Districts,secondary,both,2017-01-01,14280
Kedah,All Districts,secondary,both,2018-01-01,14198
Kedah,All Districts,secondary,both,2019-01-01,14033
Kedah,All Districts,secondary,both,2020-01-01,13725
Kedah,All Districts,secondary,both,2021-01-01,13382
Kedah,All Districts,secondary,both,2022-01-01,13683
Kedah,All Districts,secondary,female,2017-01-01,9598
Kedah,All Districts,secondary,female,2018-01-01,9680
Kedah,All Districts,secondary,female,2019-01-01,9638
Kedah,All Districts,secondary,female,2020-01-01,9526
Kedah,All Districts,secondary,female,2021-01-01,9345
Kedah,All Districts,secondary,female,2022-01-01,9666
Kedah,All Districts,secondary,male,2017-01-01,4682
Kedah,All Districts,secondary,male,2018-01-01,4518
Kedah,All Districts,secondary,male,2019-01-01,4395
Kedah,All Districts,secondary,male,2020-01-01,4199
Kedah,All Districts,secondary,male,2021-01-01,4037
Kedah,All Districts,secondary,male,2022-01-01,4017
Kedah,Baling,primary,both,2017-01-01,2113
Kedah,Baling,primary,both,2018-01-01,1517
Kedah,Baling,primary,both,2019-01-01,1460
Kedah,Baling,primary,both,2020-01-01,1440
Kedah,Baling,primary,both,2021-01-01,1435
Kedah,Baling,primary,both,2022-01-01,1476
Kedah,Baling,primary,female,2017-01-01,1313
Kedah,Baling,primary,female,2018-01-01,998
Kedah,Baling,primary,female,2019-01-01,959
Kedah,Baling,primary,female,2020-01-01,954
Kedah,Baling,primary,female,2021-01-01,959
Kedah,Baling,primary,female,2022-01-01,988
Kedah,Baling,primary,male,2017-01-01,800
Kedah,Baling,primary,male,2018-01-01,519
Kedah,Baling,primary,male,2019-01-01,501
Kedah,Baling,primary,male,2020-01-01,486
Kedah,Baling,primary,male,2021-01-01,476
Kedah,Baling,primary,male,2022-01-01,488
Kedah,Baling,secondary,both,2017-01-01,1635
Kedah,Baling,secondary,both,2018-01-01,1094
Kedah,Baling,secondary,both,2019-01-01,1072
Kedah,Baling,secondary,both,2020-01-01,1014
Kedah,Baling,secondary,both,2021-01-01,986
Kedah,Baling,secondary,both,2022-01-01,1001
Kedah,Baling,secondary,female,2017-01-01,1003
Kedah,Baling,secondary,female,2018-01-01,695
Kedah,Baling,secondary,female,2019-01-01,692
Kedah,Baling,secondary,female,2020-01-01,664
Kedah,Baling,secondary,female,2021-01-01,653
Kedah,Baling,secondary,female,2022-01-01,667
Kedah,Baling,secondary,male,2017-01-01,632
Kedah,Baling,secondary,male,2018-01-01,399
Kedah,Baling,secondary,male,2019-01-01,380
Kedah,Baling,secondary,male,2020-01-01,350
Kedah,Baling,secondary,male,2021-01-01,333
Kedah,Baling,secondary,male,2022-01-01,334
Kedah,Bandar Baharu,primary,both,2017-01-01,2698
Kedah,Bandar Baharu,primary,both,2018-01-01,491
Kedah,Bandar Baharu,primary,both,2019-01-01,493
Kedah,Bandar Baharu,primary,both,2020-01-01,494
Kedah,Bandar Baharu,primary,both,2021-01-01,475
Kedah,Bandar Baharu,primary,both,2022-01-01,492
Kedah,Bandar Baharu,primary,female,2017-01-01,1914
Kedah,Bandar Baharu,primary,female,2018-01-01,302
Kedah,Bandar Baharu,primary,female,2019-01-01,310
Kedah,Bandar Baharu,primary,female,2020-01-01,307
Kedah,Bandar Baharu,primary,female,2021-01-01,298
Kedah,Bandar Baharu,primary,female,2022-01-01,301
Kedah,Bandar Baharu,primary,male,2017-01-01,784
Kedah,Bandar Baharu,primary,male,2018-01-01,189
Kedah,Bandar Baharu,primary,male,2019-01-01,183
Kedah,Bandar Baharu,primary,male,2020-01-01,187
Kedah,Bandar Baharu,primary,male,2021-01-01,177
Kedah,Bandar Baharu,primary,male,2022-01-01,191
Kedah,Bandar Baharu,secondary,both,2017-01-01,2193
Kedah,Bandar Baharu,secondary,both,2018-01-01,299
Kedah,Bandar Baharu,secondary,both,2019-01-01,293
Kedah,Bandar Baharu,secondary,both,2020-01-01,279
Kedah,Bandar Baharu,secondary,both,2021-01-01,267
Kedah,Bandar Baharu,secondary,both,2022-01-01,268
Kedah,Bandar Baharu,secondary,female,2017-01-01,1498
Kedah,Bandar Baharu,secondary,female,2018-01-01,182
Kedah,Bandar Baharu,secondary,female,2019-01-01,186
Kedah,Bandar Baharu,secondary,female,2020-01-01,178
Kedah,Bandar Baharu,secondary,female,2021-01-01,170
Kedah,Bandar Baharu,secondary,female,2022-01-01,175
Kedah,Bandar Baharu,secondary,male,2017-01-01,695
Kedah,Bandar Baharu,secondary,male,2018-01-01,117
Kedah,Bandar Baharu,secondary,male,2019-01-01,107
Kedah,Bandar Baharu,secondary,male,2020-01-01,101
Kedah,Bandar Baharu,secondary,male,2021-01-01,97
Kedah,Bandar Baharu,secondary,male,2022-01-01,93
Kedah,Kota Setar,primary,both,2017-01-01,3250
Kedah,Kota Setar,primary,both,2018-01-01,2798
Kedah,Kota Setar,primary,both,2019-01-01,2776
Kedah,Kota Setar,primary,both,2020-01-01,2742
Kedah,Kota Setar,primary,both,2021-01-01,2748
Kedah,Kota Setar,primary,both,2022-01-01,2842
